Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2015-2019,6000,California,,32.80%,31.40%,22.30%,20.10%,20.50%
2015-2019,6001,"Alameda, CA        ",1,33.50%,31.70%,22.80%,19.00%,17.60%
2015-2019,6003,"Alpine, CA        ",8,37.10%,30.30%,27.50%,26.00%,28.10%
2015-2019,6005,"Amador, CA        ",6,32.90%,42.70%,36.50%,30.20%,27.50%
2015-2019,6007,"Butte, CA        ",3,31.10%,32.80%,25.00%,24.30%,22.50%
2015-2019,6009,"Calaveras, CA        ",6,31.40%,40.50%,32.80%,28.60%,28.00%
2015-2019,6011,"Colusa, CA        ",6,31.30%,33.40%,25.10%,24.10%,26.20%
2015-2019,6013,"Contra Costa, CA        ",1,33.90%,32.30%,22.60%,19.80%,17.30%
2015-2019,6015,"Del Norte, CA        ",7,32.60%,39.40%,30.50%,27.50%,31.00%
2015-2019,6017,"El Dorado, CA        ",1,36.70%,37.70%,28.50%,22.20%,21.30%
2015-2019,6019,"Fresno, CA        ",2,28.00%,28.50%,21.70%,21.10%,22.70%
2015-2019,6021,"Glenn, CA        ",6,34.30%,36.30%,29.80%,26.80%,27.20%
2015-2019,6023,"Humboldt, CA        ",5,32.00%,34.50%,26.80%,25.70%,22.20%
2015-2019,6025,"Imperial, CA        ",3,24.60%,24.70%,20.10%,22.00%,24.30%
2015-2019,6027,"Inyo, CA        ",7,38.70%,42.20%,37.90%,31.30%,28.60%
2015-2019,6029,"Kern, CA        ",2,29.20%,31.30%,25.20%,25.40%,27.80%
2015-2019,6031,"Kings, CA        ",3,29.80%,32.80%,28.60%,28.90%,25.30%
2015-2019,6033,"Lake, CA        ",4,32.10%,38.90%,31.60%,29.80%,30.50%
2015-2019,6035,"Lassen, CA        ",7,35.70%,35.10%,26.10%,30.90%,34.50%
2015-2019,6037,"Los Angeles, CA        ",1,32.70%,30.20%,20.70%,18.80%,20.60%
2015-2019,6039,"Madera, CA        ",3,24.90%,31.60%,24.50%,25.30%,24.90%
2015-2019,6041,"Marin, CA        ",1,30.80%,24.60%,16.40%,12.40%,10.50%
2015-2019,6043,"Mariposa, CA        ",8,32.00%,35.00%,28.00%,26.30%,24.40%
2015-2019,6045,"Mendocino, CA        ",4,34.40%,37.80%,29.50%,26.00%,25.00%
2015-2019,6047,"Merced, CA        ",2,30.20%,31.20%,23.10%,23.90%,25.30%
2015-2019,6049,"Modoc, CA        ",6,39.20%,36.60%,33.30%,29.40%,33.00%
