"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Residential","    3308.467553","    3015.393947","    2948.368675","    2995.051965","    2920.921179","    2897.493974","    2894.253363","    2986.226437","    2999.683662","    3024.848218","    3021.677436","    3016.750714","    2996.423893","    2971.909026","    3118.292069","    3025.275108","    2897.838896","    2937.121764","    2811.630947","    2745.213966","    2926.117980","    2890.767335","    2791.331173","    2674.834394","    2615.308775","    2548.457958","    2774.566317","    2529.229286","    2465.000074","    2515.209970","    2498.265626","   88761.931680"
"ALPINE","Residential","      10.244564","      10.303433","       9.593224","      10.053618","       9.343622","      11.904472","      12.024085","      13.469417","       9.336312","       9.119062","      12.468463","      13.045979","       8.916435","       9.336177","       9.543358","       8.097052","       9.002581","       6.358634","       6.721079","       6.858448","       6.247035","       6.597345","       6.792005","       6.373298","       6.063832","       6.231561","       6.183168","       6.812776","       5.808735","       6.165242","       6.036978","     265.051990"
"AMADOR","Residential","     151.826812","     138.743791","     137.221822","     143.779929","     135.749855","     132.933242","     134.842253","     139.540785","     141.108452","     140.263909","     139.932189","     142.930479","     144.125348","     142.618754","     142.547292","     134.400466","     135.642939","     129.159358","     126.437913","     121.403726","     127.238094","     124.602037","     123.223191","     114.815322","     115.017917","     110.744724","     110.372675","     109.035503","     105.907059","     108.875556","     105.093388","    4010.134780"
"BUTTE","Residential","     736.395940","     662.643253","     721.603925","     764.450593","     725.366331","     716.200612","     721.202572","     731.120746","     739.696040","     726.428245","     719.375152","     731.880092","     724.229757","     715.146832","     708.603782","     685.987792","     689.773427","     658.692294","     638.674159","     604.701777","     705.766172","     629.147565","     616.781540","     597.449897","     594.667475","     559.101202","     556.276390","     551.043168","     555.149304","     553.073852","     547.901570","   20588.531456"
"CALAVERAS","Residential","     222.260763","     202.624931","     202.478568","     214.931215","     198.531876","     191.566207","     192.873215","     199.986790","     201.712325","     200.693316","     198.139885","     202.065520","     200.737850","     199.963155","     195.037785","     187.922363","     189.235410","     177.241975","     175.351665","     168.843439","     173.578409","     170.901166","     167.369797","     157.714415","     153.829455","     148.585115","     146.123388","     145.291775","     140.066797","     143.201069","     138.299372","    5607.159011"
"COLUSA","Residential","      73.250484","      66.850386","      65.425177","      68.393820","      64.793233","      64.340477","      64.860402","      64.840356","      65.673456","      64.394165","      63.423289","      65.591311","      64.248522","      64.192325","      65.002036","      63.475316","      59.630949","      58.221327","      54.712790","      53.398152","      56.692548","      54.987594","      54.668412","      54.037338","      53.461666","      50.557113","      50.078667","      49.733609","      50.535778","      50.731018","      50.598114","    1850.799830"
"CONTRA COSTA","Residential","    3214.267766","    2887.272092","    2806.147783","    2891.294898","    2758.572817","    2737.737407","    2737.561124","    2769.601161","    2769.240084","    2751.963098","    2734.102537","    2788.393637","    2785.592776","    2738.621671","    2745.381280","    2661.880219","    2649.835607","    2540.052520","    2484.714393","    2371.236201","    2636.967543","    2494.721838","    2447.728051","    2341.159662","    2316.045847","    2177.154476","    2137.669934","    2167.951542","    2094.083360","    2073.815256","    2074.798616","   79785.565196"
"DEL NORTE","Residential","     118.510243","     117.161857","     114.235067","     122.785745","     112.343710","     116.134032","     110.111431","     126.534214","     127.753526","     132.186776","     133.518931","     132.958327","     136.508596","     133.579670","     127.833022","     122.831577","     121.909010","     121.608702","     117.067626","     114.904332","     113.613677","     112.136921","     110.065812","     107.696817","     139.830574","     106.566610","     110.776041","     116.229421","     106.383258","     104.812778","      90.982237","    3679.570540"
"EL DORADO","Residential","     820.014926","     760.773350","     748.631682","     778.860125","     753.118702","     723.806295","     723.359561","     757.876016","     765.948860","     763.662056","     764.194066","     770.732270","     771.587719","     760.614467","     760.147472","     731.971060","     723.288736","     689.488039","     665.911883","     635.351306","     659.091005","     645.347884","     634.835862","     591.638586","     576.954082","     558.651068","     548.553618","     550.149822","     529.892679","     539.328355","     524.585004","   21228.366556"
"FRESNO","Residential","    3101.806814","    2768.954406","    2745.048779","    2795.953273","    2663.517316","    2675.128646","    2706.156603","    2695.074728","    2708.942473","    2592.935191","    2547.721973","    2616.928004","    2552.191420","    2522.660291","    2490.229890","    2377.211927","    2351.327563","    2299.266174","    2157.172387","    2082.560954","    2280.806207","    2109.265235","    2053.582810","    2033.819526","    2015.179260","    1895.082375","    1874.339769","    1832.378756","    1865.168616","    1840.839026","    1785.877540","   73037.127932"
