"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Total","   10247.410444","   10921.582806","   10573.316953","   11090.208527","   10790.951065","   10242.582434","   10304.908840","   10622.106047","   10592.704568","   10979.174259","   10722.421619","   10359.169711","   11178.529000","   11738.277054","   11182.164014","   11065.952600","   10670.996291","   10599.552884","   10424.997325","   10188.579961","   10662.173451","   10656.826330","    9984.913137","   10498.078875","   10384.333836","    9858.388895","    9442.803439","    9790.005719","    9287.523316","    9324.783738","    9607.565521","  323992.982659"
"ALPINE","Total","      18.525633","      19.137622","      18.888831","      19.079879","      17.468364","      16.258868","      16.032474","      18.221455","      13.926474","      14.318926","      17.672246","      18.280767","      18.285050","      20.021916","      18.920431","      17.229074","      18.433810","      11.471517","      11.392818","      11.939940","      11.407006","      11.214522","      11.624374","      10.841346","      10.448214","      10.528255","      10.565195","      11.298486","      10.032819","      10.071697","       9.618742","     453.156751"
"AMADOR","Total","     350.924409","     318.799082","     304.629423","     313.900889","     309.600823","     285.606819","     291.196485","     310.431624","     321.905574","     310.225048","     315.640033","     326.943330","     332.092098","     322.494513","     307.682321","     295.069401","     300.784733","     271.380414","     262.090980","     305.607058","     362.061481","     334.902359","     325.524721","     317.051964","     330.602083","     361.312111","     350.855821","     352.336359","     335.420249","     338.670056","     315.982614","    9881.724875"
"BUTTE","Total","    1385.255941","    1404.179837","    1485.125418","    1540.610935","    1493.109761","    1503.918362","    1499.416359","    1511.837915","    1515.242800","    1441.120507","    1423.184815","    1453.290516","    1469.263208","    1513.158747","    1426.730594","    1357.688582","    1378.417931","    1324.952618","    1349.188203","    1248.383640","    1564.503698","    1384.203698","    1280.499993","    1541.507515","    1371.460934","    1280.118768","    1519.236871","    1245.313236","    1284.006403","    1307.491598","    1401.795701","   43904.215104"
"CALAVERAS","Total","     346.333015","     328.947706","     333.044637","     348.557564","     316.714212","     312.031088","     320.000659","     326.910716","     326.835646","     326.381693","     316.127161","     324.422005","     319.998785","     322.163839","     318.270962","     307.836527","     288.336356","     272.025184","     272.715925","     255.358581","     255.426547","     250.684811","     243.544406","     233.957679","     223.123873","     213.730829","     232.842757","     247.213700","     247.354237","     251.603627","     243.949460","    8926.444187"
"COLUSA","Total","     322.634703","     291.112578","     300.980754","     296.046698","     298.765094","     308.243785","     305.201986","     298.804592","     280.539559","     271.445460","     256.593482","     265.671255","     257.350752","     250.649824","     248.226969","     248.194952","     235.053980","     221.722968","     253.360409","     250.348184","     240.899676","     242.776854","     204.912146","     214.246577","     204.701523","     194.573122","     204.096438","     194.913870","     196.240893","     194.261811","     195.642863","    7748.213757"
"CONTRA COSTA","Total","    8622.379746","    9703.455143","    9310.521624","    9743.642439","    9645.415597","    9526.498047","    9599.152309","    9142.870734","    9107.613429","    9107.146134","    9118.765084","    9095.878085","    9353.273655","    8593.102119","    8674.073694","    8500.286276","    8535.798019","    8244.830011","    8032.625793","    8230.065005","    8625.834203","    9013.321079","    8677.140702","    9309.831923","    9065.637359","    9019.827907","    8908.572833","    8820.606502","    8401.783739","    8421.273853","    8597.007706","  276748.230749"
"DEL NORTE","Total","     205.385847","     210.254549","     207.040561","     216.939444","     204.706383","     211.886267","     203.419352","     225.978448","     227.758011","     238.022371","     241.727710","     241.369408","     249.762793","     255.241891","     236.502674","     229.723934","     234.680946","     220.295903","     217.287103","     220.118843","     236.487557","     221.369652","     217.618846","     213.615931","     247.710327","     209.553691","     214.387384","     221.550379","     211.793326","     211.411099","     192.650044","    6896.250674"
"EL DORADO","Total","    1255.641756","    1226.007831","    1218.270201","    1259.648075","    1214.983528","    1174.698244","    1193.844895","    1244.701177","    1254.051314","    1244.342205","    1240.751227","    1268.992745","    1286.734016","    1275.411874","    1279.562975","    1207.096387","    1165.387489","    1109.205427","    1124.839991","    1113.688127","    1133.429392","    1099.915042","    1068.172754","    1015.461433","     999.489981","     956.658644","     917.585605","     919.313603","     893.339931","     881.783012","     876.767177","   35119.776058"
"FRESNO","Total","    8017.830742","    7444.929569","    7645.729423","    7429.224999","    7618.635210","    7684.702326","    7689.110094","    7512.805926","    7382.976929","    6884.935443","    6903.583347","    7075.976390","    7118.915929","    7105.704766","    6511.749646","    6342.940921","    6564.189554","    6276.970514","    6361.260746","    6190.086708","    6395.353190","    6093.369171","    5641.194660","    5875.683159","    5673.113450","    5435.220230","    5549.971560","    5287.304864","    5528.216057","    5272.709990","    5043.042515","  203557.438028"
