"County","Sector","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"ALAMEDA","Residential","     216.615141","     218.976191","     210.826845","     214.988935","     200.700888","     193.386135","     191.273571","     238.277620","     232.297871","     245.329593","     238.481921","     235.773688","     239.062003","     234.158000","     232.049202","     228.914041","     237.954668","     234.607162","     239.323177","     225.870843","     268.786307","     300.289750","     272.586252","     244.883993","     244.551780","     245.521008","     241.235360","     263.446670","     242.379658","     277.623647","     271.287576","    7381.459496"
"AMADOR","Residential","       2.136004","       2.165888","       2.030004","       2.049717","       1.921832","       1.885700","       1.796519","       2.174944","       2.153382","       2.388172","       2.223296","       2.241431","       2.213983","       2.205817","       2.185952","       2.156418","       2.241583","       2.210048","       2.254474","       2.127751","       2.045476","       2.154313","       1.997039","       1.839774","       1.734252","       1.741830","       1.714945","       1.827246","       1.628623","       1.755432","       1.615980","      62.817825"
"BUTTE","Residential","      21.816990","      22.698185","      24.989481","      27.189926","      25.328217","      23.904163","      24.203910","      28.889117","      28.607551","      30.859910","      29.561971","      29.093374","      29.351332","      28.990591","      28.729505","      28.341348","      29.460648","      29.046201","      29.630080","      27.964576","      31.437340","      33.827864","      31.254801","      28.681872","      28.423685","      28.187193","      30.122988","      30.739004","      27.502154","      29.048088","      28.180464","     876.062529"
"CALAVERAS","Residential","       0.445337","       0.430143","       0.371723","       0.425254","       0.391473","       0.436843","       0.356240","       0.498456","       0.464472","       0.499225","       0.434317","       0.479464","       0.529740","       0.477636","       0.473334","       0.466939","       0.485380","       0.478552","       0.488172","       0.460732","       0.522688","       0.567245","       0.514449","       0.461655","       0.460462","       0.462612","       0.514000","       0.504996","       0.459223","       0.452244","       0.417324","      14.430330"
"COLUSA","Residential","       2.128467","       2.211679","       2.066297","       2.147563","       2.008418","       1.907506","       1.877487","       2.268122","       2.250606","       2.448566","       2.391259","       2.322075","       2.309928","       2.294921","       2.274253","       2.243526","       2.332131","       2.299323","       2.345543","       2.213700","       2.350623","       2.573562","       2.379988","       2.186423","       2.188627","       2.192911","       2.322577","       2.369988","       2.115309","       2.267578","       2.206841","      69.495797"
"CONTRA COSTA","Residential","     172.976757","     176.043090","     168.580075","     171.987911","     158.298451","     152.713194","     148.680624","     185.270144","     179.469809","     194.770744","     186.936202","     182.204596","     183.184629","     182.457134","     180.813947","     178.371013","     185.415517","     182.807123","     186.481866","     175.999738","     197.554721","     219.151505","     197.816409","     176.482230","     173.625339","     172.470987","     198.288802","     191.460975","     172.483770","     191.845919","     188.639534","    5613.282755"
"EL DORADO","Residential","      23.861925","      25.089235","      22.956908","      24.003824","      21.536125","      20.287449","      19.275798","      22.931901","      21.571106","      24.220475","      23.017424","      22.591426","      22.425352","      22.452913","      21.891589","      22.969312","      22.551599","      21.973006","      22.139927","      21.288974","      18.053855","      18.163260","      17.558721","      15.854373","      15.255247","      14.180721","      14.093138","      14.484630","      12.178994","       3.794491","       0.900265","     593.553963"
"FRESNO","Residential","     109.987978","     106.850460","     100.757405","     102.322948","      97.999982","      97.461794","      94.595734","     112.919509","     110.680176","     117.879175","     114.347567","     113.785694","     112.787775","     113.784305","     113.328936","     112.803275","     116.310123","     114.133556","     116.446264","     110.957839","     113.962404","     129.148200","     122.804225","     103.355098","     108.655313","     103.978321","     115.775318","     110.391533","     105.225545","     111.769543","     111.394712","    3426.600707"
"GLENN","Residential","       2.368116","       2.509179","       2.235269","       2.475166","       2.294903","       2.172333","       2.139632","       2.643611","       2.560315","       2.751844","       2.673991","       2.615248","       2.679970","       2.612927","       2.589395","       2.554410","       2.655293","       2.617939","       2.670564","       2.520452","       2.889193","       3.239272","       3.169064","       2.772552","       2.782644","       2.798388","       2.911720","       2.984223","       2.699594","       2.906481","       2.822594","      82.316282"
"HUMBOLDT","Residential","      19.856278","      19.806419","      19.588375","      20.404785","      18.028552","      17.319698","      17.468880","      22.092745","      21.547650","      21.720820","      21.216467","      21.668608","      22.463924","      21.361711","      21.169330","      20.883316","      21.708073","      21.402687","      21.832919","      20.605692","      23.085008","      25.520329","      22.964881","      20.771717","      20.762566","      20.231050","      22.030697","      22.471989","      19.481293","      22.530858","      21.277042","     653.274359"
